,BATT,CHRG,CO,CO2,NO2,O3,PM1,PM10,PM25,RH,RUN,SD,SO2,T,raw1,raw2,raw3,raw4,raw5,raw6,raw7,raw8,stat2
2024-02-02 05:00:00,3.78380952380953,0,571.750476190476,2001,48.8828571428571,23.7388095238095,10.4464285714286,18.7619047619048,16.3928571428571,88.2690476190477,115.261190476191,1,-32.2314285714286,14.3833333333333,-46.8809523809524,298.642857142857,9,-9.19047619047619,-1.38095238095238,-11.2142857142857,-0.880952380952381,-28.047619047619,0
2024-02-02 06:00:00,3.77414634146341,60.1568292682927,570.772195121951,2001,45.749512195122,21.8914634146341,9.31707317073171,17.9085365853659,14.6219512195122,88.2536585365854,118.269756097561,1,-24.8292682926829,14.3658536585366,-46.7560975609756,297.975609756098,9.09756097560976,-5.19512195121951,-0.975609756097561,-9.24390243902439,-0.560975609756098,-23.3170731707317,0
2024-02-02 07:00:00,3.80309523809524,389.017380952381,617.115,1835.45238095238,46.5185714285714,20.7745238095238,8.75,17.0476190476191,13.6607142857143,87.7238095238095,114.915714285714,1,-29.8002380952381,15.6452380952381,-59.0238095238095,310.261904761905,11.1904761904762,-4.02380952380952,-2.42857142857143,-10.0476190476191,-3.42857142857143,-28.5476190476191,0
2024-02-02 08:00:00,3.93146341463415,1038.81951219512,646.331463414634,554.90243902439,37.5668292682927,20.6109756097561,7.77439024390244,15.0853658536585,11.9878048780488,82.2341463414634,102.671707317073,1,-20.2965853658537,18.980487804878,-101.317073170732,207.780487804878,16.6585365853659,10.1463414634146,-3.58536585365854,-3.80487804878049,-5.87804878048781,-27.6341463414634,0
2024-02-02 09:00:00,4.03476190476191,915.661428571429,678.039285714286,142.309523809524,21.3864285714286,25.4283333333333,7.32142857142857,13.9761904761905,11.2261904761905,70.9071428571429,96.9266666666666,1,-52.9902380952381,23.3214285714286,-107.02380952381,209.238095238095,26.1428571428571,8.78571428571429,-2.19047619047619,7.5,-3.11904761904762,-15.1904761904762,0
2024-02-02 10:00:00,4.06547619047619,454.992380952381,633.135714285714,40.2142857142857,6.49571428571429,40.4040476190476,7.06547619047619,13.2321428571429,10.7261904761905,61.4928571428571,89.18,1,-91.552619047619,26.2023809523809,-88.7857142857143,227.214285714286,34.1190476190476,0.309523809523809,-0.119047619047619,18.7857142857143,0.666666666666667,-8.04761904761905,0
2024-02-02 11:00:00,4.07,325.535714285714,622.436428571429,26.0952380952381,15.5947619047619,47.4180952380952,6.8452380952381,12.8214285714286,10.3928571428571,57.9214285714286,89.9464285714286,1,-90.0397619047619,26.2261904761905,-89.4761904761905,214.690476190476,31.6904761904762,-2.61904761904762,4.21428571428571,15.5,6.21428571428571,-10.6190476190476,0
2024-02-02 12:00:00,4.06642857142857,284.686190476191,641.00880952381,58.1428571428572,40.5178571428571,32.1054761904762,6.97619047619048,13,10.6130952380952,60.7333333333333,93.2059523809523,1,-72.7435714285714,24.6642857142857,-88.6904761904762,233.738095238095,24.9285714285714,-3.64285714285714,5.33333333333333,1.02380952380952,6.16666666666667,-20.8809523809524,0
2024-02-02 13:00:00,4.06951219512195,293.633414634146,643.636341463415,46,47.7824390243902,29.5646341463415,6.77439024390244,12.6341463414634,10.2743902439024,61.0585365853659,95.1260975609756,1,-86.5626829268293,24.9439024390244,-82.9756097560976,255.170731707317,24.9512195121951,-10.3658536585366,2.14634146341463,-4.41463414634146,1.97560975609756,-33.6341463414634,0
2024-02-02 14:00:00,4.05880952380952,178.896904761905,615.533571428572,59.1666666666667,46.1907142857143,459.334523809524,6.3452380952381,11.8154761904762,9.72619047619048,60.8428571428572,94.8554761904762,1,-85.1945238095238,24.552380952381,-77.6190476190476,246.333333333333,23.4285714285714,-12.452380952381,3.78571428571429,-2.71428571428571,257.047619047619,83.547619047619,0
2024-02-02 15:00:00,4.04380952380953,194.470952380952,500.016190476191,430.595238095238,82.2895238095238,4839.995,3.5297619047619,5.77380952380952,5.22619047619048,77.1,104.253571428571,1,-50.6385714285714,17.4571428571429,-56.1666666666667,210.857142857143,10.7380952380952,-16.0714285714286,4.85714285714286,-24.2857142857143,2176.19047619048,-145.023809523809,0
2024-02-02 16:00:00,4.05547619047619,250.54880952381,613.785952380952,554.380952380952,81.6602380952381,5030.41238095238,4.71428571428571,7.93452380952381,7.04761904761905,81.1738095238095,98.2338095238095,1,-40.1904761904762,19.4595238095238,-77.5476190476191,244.690476190476,14.952380952381,-2.42857142857143,-3.88095238095238,-29.5952380952381,2236.40476190476,-135.333333333333,0
2024-02-02 17:00:00,4.03390243902439,16.5817073170732,643.75,438.243902439024,61.1517073170732,2889.10170731707,5.55487804878049,9.54878048780488,8.26219512195122,79.6756097560976,99.7268292682927,1,-35.0139024390244,21.490243902439,-65.8048780487805,305.487804878049,18.6341463414634,5.65853658536585,-2.19512195121951,-15.7073170731707,1245.9756097561,-86.609756097561,0
2024-02-02 18:00:00,4.00619047619048,0,791.189523809524,584.97619047619,62.0659523809524,1087.98285714286,9.4702380952381,16.2738095238095,13.7440476190476,81.3857142857143,100.917857142857,1,-3.90309523809524,18.7023809523809,-49.2380952380952,480.738095238095,13.1904761904762,12.5476190476191,0.976190476190476,-14.6904761904762,469.357142857143,-71.9761904761905,0
2024-02-02 19:00:00,3.9802380952381,0,898.701666666667,878.523809523809,65.6842857142857,653.420476190476,8.29761904761905,15.6130952380952,12.4285714285714,84.25,109.892619047619,1,-24.8916666666667,17.0761904761905,-32.0714285714286,614.809523809524,11.5714285714286,-1.80952380952381,-0.333333333333333,-18.9047619047619,299.571428571429,-30.7857142857143,0
2024-02-02 20:00:00,3.96,0,1012.00975609756,1199.70731707317,63.4285365853659,61.7946341463415,10.5304878048781,18.109756097561,15.3048780487805,85.8170731707317,109.50756097561,1,-0.368536585365854,16.2439024390244,-28.0487804878049,717.341463414634,11,9.14634146341463,-2.17073170731707,-19.2926829268293,220.731707317073,289.634146341463,0
2024-02-02 21:00:00,3.94,0,809.111666666667,1534.33333333333,61.5919047619048,-663.849523809524,8.27976190476191,15.875,12.577380952381,86.4809523809524,112.577142857143,1,-20.2845238095238,16.3166666666667,-43.3095238095238,509.261904761905,11,0.357142857142857,-3.59523809523809,-19.2380952380952,182.619047619048,781.333333333333,0
2024-02-02 22:00:00,3.92357142857143,0,615.730952380952,1721.69047619048,57.6947619047619,-822.960952380952,8.07738095238095,15.6904761904762,12.3511904761905,86.7023809523809,115.722380952381,1,-30.0352380952381,16.4833333333333,-49.7619047619048,329.02380952381,11.2857142857143,-3.71428571428571,-2.64285714285714,-16.2619047619048,-182.547619047619,310.571428571429,0
2024-02-02 23:00:00,3.90690476190476,0,567.698333333333,1885.2380952381,53.095,-752.821428571428,7.67261904761905,14.797619047619,11.8333333333333,86.9761904761904,111.925714285714,1,-23.7771428571429,16.2738095238095,-49.6666666666667,287.952380952381,12,-1.04761904761905,-1.88095238095238,-13.1666666666667,-338.52380952381,7.61904761904762,0
2024-02-03 00:00:00,3.8880487804878,0,575.683658536585,2001,50.1970731707317,-405.258048780488,8.60975609756098,17.1219512195122,13.3414634146342,87.3243902439025,108.643414634146,1,-18.5392682926829,16.0560975609756,-50.7317073170732,292.926829268293,12,1.36585365853659,-2.09756097560976,-11.7804878048781,-182.951219512195,-0.292682926829268,0
2024-02-03 01:00:00,3.86976190476191,0,513.075952380952,2001,49.4990476190476,-360.65,7.77976190476191,15.2678571428571,12.0238095238095,87.6071428571428,107.974047619048,1,-31.1585714285714,15.8904761904762,-52.0238095238095,236.666666666667,12,-4.64285714285714,-2.02380952380952,-11.3333333333333,-170.809523809524,-12.952380952381,0
2024-02-03 02:00:00,3.85512195121951,0,485.761463414634,2001,44.5480487804878,-66.3495121951219,7.15243902439024,13.969512195122,11.0914634146342,87.8658536585366,110.685609756098,1,-25.3724390243902,15.2804878048781,-48.7804878048781,221.121951219512,11.3170731707317,-2.95121951219512,-1.48780487804878,-8.51219512195122,-29.5365853658537,-2.73170731707317,0
2024-02-03 03:00:00,3.83928571428572,0,480.392857142857,2001,44.0419047619048,160.722619047619,7.30952380952381,14.2619047619048,11.3095238095238,88.3619047619048,115.337619047619,1,-23.7166666666667,14.4047619047619,-42.7142857142857,229.309523809524,10.0714285714286,-4.42857142857143,-1.23809523809524,-8.40476190476191,77.7619047619048,-0.857142857142857,0
2024-02-03 04:00:00,3.82190476190476,0,413.793095238095,2001,45.4690476190476,156.855476190476,6.10714285714286,11.5059523809524,9.4702380952381,88.7571428571429,112.460714285714,1,-34.0783333333333,14.0404761904762,-42.7142857142857,173.357142857143,10,-10.2380952380952,-1.28571428571429,-9.40476190476191,80.5,5.04761904761905,0
2024-02-03 05:00:00,3.80341463414634,0,407.574390243903,1820.95121951219,46.7224390243903,3.36292682926829,5.39024390243903,9.46341463414634,8.14024390243903,88.0756097560976,111.07756097561,1,-45.4812195121951,14.1146341463415,-44.7317073170732,164.317073170732,10,-15.6341463414634,-1.36585365853659,-10.3170731707317,0.658536585365854,-7.85365853658537,0
2024-02-03 06:00:00,3.79404761904762,80.9719047619048,437.505952380952,1165.71428571429,47.8661904761905,1.94547619047619,5.61904761904762,10.0416666666667,8.61904761904762,87.0833333333333,112.883095238095,1,-37.1128571428571,14.6642857142857,-48.0952380952381,182.904761904762,10.1190476190476,-9.73809523809524,-1,-10.3333333333333,-0.047619047619048,-9.28571428571429,0
2024-02-03 07:00:00,3.87928571428571,803.734761904762,604.646428571428,1407.76190476191,48.1852380952381,-42.1321428571429,6.98809523809524,13.1666666666667,10.6666666666667,86.9547619047619,105.634523809524,1,-18.9280952380952,16.2047619047619,-65.8809523809524,280.595238095238,13.2380952380952,4.5952380952381,-3.11904761904762,-11.2380952380952,-2.35714285714286,18.0238095238095,0
2024-02-03 08:00:00,3.99571428571429,859.084523809524,689.802142857143,372.047619047619,34.3640476190476,11.627380952381,5.76190476190476,10.202380952381,8.68452380952381,80.3714285714286,95.2771428571428,1,-32.7730952380952,20.7404761904762,-105.095238095238,227.404761904762,22.9523809523809,13.6428571428571,-3.83333333333333,-1.47619047619048,-2.30952380952381,-12.1904761904762,0
2024-02-03 09:00:00,4.05714285714286,635.002619047619,566.525714285714,172.976190476191,29.215,28.1595238095238,5.97619047619048,10.6904761904762,9.04166666666667,73.0333333333333,90.4049999999999,1,-65.5226190476191,22.6738095238095,-78.4047619047619,198.523809523809,25.3809523809524,0.571428571428571,-1.04761904761905,3.54761904761905,1.0952380952381,-15.952380952381,0
2024-02-03 10:00:00,4.06951219512195,331.197317073171,558.697804878049,129.341463414634,32.7170731707317,27.3048780487805,5.86585365853659,10.6707317073171,8.88414634146342,69.9609756097561,91.2748780487805,1,-69.0104878048781,22.9560975609756,-75.7560975609756,200.024390243902,24.4878048780488,-2.73170731707317,0.146341463414634,2.51219512195122,1.1219512195122,-18.7317073170732,0
2024-02-03 11:00:00,4.07,281.503095238095,582.026428571429,71.4761904761905,26.2207142857143,29.0302380952381,6.33333333333333,11.6547619047619,9.61904761904762,64.7761904761905,93.3216666666667,1,-78.045,24.9690476190476,-75.3095238095238,223.547619047619,29.7380952380952,0.642857142857143,1.47619047619048,7.35714285714286,2.54761904761905,-12.7142857142857,0
